Policy,Quantity logic,Firm,P(pass),P(breach),Median days,P(pass <=10d),P(pass <=14d),P(pass <=20d),Expected attempts,Expected eval cost,p90 days,governor,daily_stop,streak,approach
Q1_FIXED__APPR_REDUCE,n=1 a=1 d=1,MFFU_RAPID_EOD_50K,0.7292,0.2708,53.0,0.0005485463521667581,0.004936917169500823,0.047723532638507954,1.3713658804168953,,99.0,none,none,none,REDUCE
Q1_FIXED__APPR_SKIP,n=1 a=1 d=1,MFFU_RAPID_EOD_50K,0.2856,0.264,51.0,0.0,0.014005602240896359,0.05742296918767507,3.501400560224089,,96.70000000000005,none,none,none,SKIP
Q2_FIXED__APPR_REDUCE,n=2 a=2 d=2,MFFU_RAPID_EOD_50K,0.5536,0.4464,18.0,0.15679190751445088,0.3432080924855491,0.5910404624277457,1.8063583815028903,,35.0,none,none,none,REDUCE
Q2_FIXED__APPR_SKIP,n=2 a=2 d=2,MFFU_RAPID_EOD_50K,0.2104,0.4416,16.0,0.24904942965779467,0.4296577946768061,0.6653992395437263,4.752851711026616,,30.0,none,none,none,SKIP
Q3_FIXED__APPR_REDUCE,n=3 a=3 d=3,MFFU_RAPID_EOD_50K,0.4232,0.5768,15.0,0.2655954631379962,0.47542533081285443,0.7296786389413988,2.3629489603024574,,30.300000000000068,none,none,none,REDUCE
Q3_FIXED__APPR_SKIP,n=3 a=3 d=3,MFFU_RAPID_EOD_50K,0.1132,0.486,10.0,0.5724381625441696,0.7985865724381626,0.950530035335689,8.8339222614841,,18.0,none,none,none,SKIP
Q2_DEF50__APPR_REDUCE,n=2 a=2 d=1,MFFU_RAPID_EOD_50K,0.5676,0.4324,20.0,0.16701902748414377,0.3143058491895701,0.5088090204369274,1.7618040873854828,,50.0,none,none,none,REDUCE
Q2_DEF50__APPR_SKIP,n=2 a=2 d=1,MFFU_RAPID_EOD_50K,0.2264,0.3964,19.0,0.22614840989399293,0.37279151943462896,0.549469964664311,4.41696113074205,,46.0,none,none,none,SKIP
Q1_ACCEL2_C70__APPR_REDUCE,n=1 a=2 d=1,MFFU_RAPID_EOD_50K,0.6532,0.3468,34.0,0.07164727495407226,0.13962033067973056,0.2633190447030006,1.5309246785058175,,78.0,none,none,none,REDUCE
Q1_ACCEL2_C70__APPR_SKIP,n=1 a=2 d=1,MFFU_RAPID_EOD_50K,0.2568,0.3276,32.0,0.11838006230529595,0.20404984423676012,0.3348909657320872,3.8940809968847354,,76.79999999999995,none,none,none,SKIP
Q2_ACCEL3_DEF40__APPR_REDUCE,n=2 a=3 d=1,MFFU_RAPID_EOD_50K,0.4748,0.5252,20.0,0.2055602358887953,0.34456613310867734,0.5122156697556866,2.1061499578770007,,43.0,none,none,none,REDUCE
Q2_ACCEL3_DEF40__APPR_SKIP,n=2 a=3 d=1,MFFU_RAPID_EOD_50K,0.1352,0.4484,12.5,0.4171597633136095,0.5769230769230769,0.7337278106508875,7.396449704142013,,34.30000000000001,none,none,none,SKIP
Q2_FIXED__GOV_SOFT,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.4176,0.5824,17.0,0.20881226053639848,0.40229885057471265,0.6379310344827587,2.3946360153256703,167.60057471264366,33.0,soft,none,none,NONE
Q2_FIXED__GOV_REDUCED,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.4408,0.5592,13.0,0.33212341197822143,0.543557168784029,0.7758620689655172,2.268602540834846,158.77949183303085,28.0,reduced,none,none,NONE
Q2_FIXED__GOV_HARD,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.4856,0.5144,13.0,0.35914332784184516,0.5790774299835255,0.8212520593080724,2.0593080724876445,144.1309719934102,24.0,hard,none,none,NONE
Q2_FIXED__DSTOP_USD400,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.4944,0.5056,13.0,0.3762135922330097,0.593042071197411,0.8179611650485437,2.0226537216828477,141.5655339805825,25.0,none,dollar,none,NONE
Q2_FIXED__DSTOP_USD600,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.474,0.526,12.0,0.389873417721519,0.6092827004219409,0.8219409282700422,2.109704641350211,147.65822784810126,24.0,none,dollar,none,NONE
Q2_FIXED__DSTOP_R15,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.4588,0.5412,13.0,0.3801220575414124,0.5937227550130776,0.8038360941586749,2.1795989537925022,152.55013077593722,25.0,none,R,none,NONE
