strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,frozen_status,hit_2r_mfe,stop_hit_flag
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-09,1757423400,1757423400,2025-09-09T13:10:00Z,2025-09-09T13:10:00Z,bearish,STOP_HIT,-1.0588913351285516,-1.0588913351285516,-2.5172597393895013,UNAVAILABLE,-25.172597393895014,LOSS,0.0,4.377259739389501,0.12274026061049881,1.8413047875507351,0.05163098443841877,2.377259739389501,3664.0,3656.8682207818315,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-09,False,AMBIGUOUS,,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-09,1757428800,1757430600,2025-09-09T14:40:00Z,2025-09-09T15:10:00Z,bullish,STOP_HIT,-1.0202583237370746,-1.0202583237370746,-7.050739596079565,UNAVAILABLE,-70.50739596079565,LOSS,1800.0,8.410739596079566,6.789260403920252,1.2170534686115135,0.982421679985131,6.910739596079566,3646.3,3667.032218788239,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-09,False,STOP_HIT,False,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-09,1757432100,1757439000,2025-09-09T15:35:00Z,2025-09-09T17:30:00Z,bullish,TIME_EXIT,0.5481797251534296,0.5481797251534296,5.898975469499292,UNAVAILABLE,58.98975469499292,WIN,6900.0,0.7610245305008903,12.1389754694992,0.07072045308918806,1.1280501624257677,10.76102453050089,3636.5,3668.7830735915027,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-09,False,TARGET_1R_HIT,False,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-10,1757509200,1757517600,2025-09-10T13:00:00Z,2025-09-10T15:20:00Z,bullish,STOP_HIT,-1.0254703141757802,-1.0254703141757802,-5.63659493926174,UNAVAILABLE,-56.3659493926174,LOSS,8400.0,6.596594939261649,10.40340506073835,1.2001238970953994,1.892699967106482,5.49659493926174,3650.5,3666.989784817785,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-10,False,STOP_HIT,False,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-10,1757522700,1757525400,2025-09-10T16:45:00Z,2025-09-10T17:30:00Z,bullish,TARGET_HIT,1.9153038371248157,1.9153038371248157,3.165934891202014,UNAVAILABLE,31.65934891202014,WIN,2700.0,0.45296744560118896,4.447032554398902,0.2740328896413887,2.6903328109901117,1.652967445601007,3650.5,3655.458902336803,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-10,False,TARGET_2R_HIT,True,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-11,1757597100,1757597700,2025-09-11T13:25:00Z,2025-09-11T13:35:00Z,bullish,STOP_HIT,-1.0330771268957142,-1.0330771268957142,-4.3725320588270185,UNAVAILABLE,-43.725320588270186,LOSS,600.0,6.63253205882711,2.667467941173072,1.5670364610694087,0.6302298255745097,4.232532058827019,3629.4,3642.097596176481,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-11,False,STOP_HIT,False,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-11,1757597700,1757597700,2025-09-11T13:35:00Z,2025-09-11T13:35:00Z,bullish,STOP_HIT,-1.0689944763881225,-1.0689944763881225,-2.169147945299883,UNAVAILABLE,-21.69147945299883,LOSS,0.0,5.529147945299883,1.1708520546999353,2.724861909703062,0.5770166031569954,2.029147945299883,3630.5,3636.5874438358996,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-11,False,AMBIGUOUS,,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-11,1757607600,1757611800,2025-09-11T16:20:00Z,2025-09-11T17:30:00Z,bearish,TIME_EXIT,0.8361937104902514,0.8361937104902514,2.941852669958607,UNAVAILABLE,29.41852669958607,WIN,4200.0,0.11814733004121081,6.681852669958971,0.03358225763667032,1.8992532270899891,3.5181473300413018,3651.9,3641.345558009876,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-11,False,TARGET_1_5R_HIT,False,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-12,1757683800,1757683800,2025-09-12T13:30:00Z,2025-09-12T13:30:00Z,bearish,STOP_HIT,-1.0723760493229832,-1.0723760493229832,-2.0743415578714486,UNAVAILABLE,-20.743415578714487,LOSS,0.0,4.0343415578713575,0.4656584421286425,2.0856407398447,0.24073227410832942,1.9343415578714485,3658.0,3652.1969753263857,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-12,False,AMBIGUOUS,,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-09-15,1757954100,1757954100,2025-09-15T16:35:00Z,2025-09-15T16:35:00Z,bearish,TARGET_HIT,1.8573134680057577,1.8573134680057577,1.8223435799203433,UNAVAILABLE,18.223435799203433,WIN,0.0,0.28117178996035364,7.118828210039737,0.28656734002897405,7.255435065381067,0.9811717899601717,3695.0,3692.0564846301195,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-09-15,False,TARGET_3R_HIT,True,False
