strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,date,window_days,drawdown_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-20,20,5.085000081238215
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-24,20,5.8942099267002295
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-25,20,5.8942099267002295
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-26,20,5.894209926700228
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-02,20,5.894209926700227
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-04,20,5.894209926700228
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-05,20,6.594561019746029
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-09,20,8.652708109863259
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-10,20,9.688158633501555
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-12,20,11.738842099067098
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-13,20,11.820901984983369
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16,20,12.871557217031
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-17,20,12.871557217031002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-20,20,12.793716425586823
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-23,20,12.79371642558682
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-24,20,12.128241355128953
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-25,20,12.128241355128953
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26,20,12.128241355128953
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-27,20,11.090572883796732
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-30,20,10.065640978544744
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-02,20,8.358905330997523
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-06,20,8.358905330997523
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-07,20,8.358905330997523
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-08,20,8.358905330997523
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-09,20,8.292959446043753
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-10,20,8.292959446043753
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-13,20,6.276996197284969
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-14,20,4.21884910716774
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15,20,3.3454334313864837
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-16,20,3.3454334313864837
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17,20,3.3454334313864837
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-20,20,3.3454334313864837
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-21,20,3.345433431386482
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-22,20,3.3454334313864837
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-23,20,3.3454334313864824
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-24,20,3.345433431386483
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-28,20,3.345433431386482
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-29,20,3.3454334313864824
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-30,20,3.3454334313864824
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-01,20,3.3454334313864824
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-04,20,3.3454334313864824
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-05,20,3.3454334313864824
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-07,20,3.3454334313864824
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-12,20,3.3454334313864824
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-13,20,3.3454334313864824
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-14,20,3.345433431386483
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-15,20,3.345433431386483
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-18,20,3.0614795731128357
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-20,20,3.0614795731128357
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-21,20,4.1871480696569705
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-22,20,4.1871480696569705
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-26,20,4.261866692592205
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-27,20,5.299258530472439
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-28,20,6.310228312607995
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-02,20,7.326740121676022
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-04,20,8.34437042820665
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-08,20,8.431825959650084
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-09,20,8.431825959650084
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-10,20,8.431825959650084
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-11,20,8.431825959650084
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-12,20,8.431825959650084
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-16,20,8.431825959650084
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-17,20,8.431825959650084
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-18,20,8.431825959650084
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-19,20,8.431825959650082
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22,20,8.123875629326513
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23,20,10.18836372624074
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-24,20,10.18836372624074
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-25,20,9.085742171173852
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-26,20,7.94902368410518
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29,20,7.94902368410518
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-30,20,6.929776193344539
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-01,20,6.157892429899355
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-03,20,6.157892429899354
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-07,20,6.157892429899354
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-08,20,6.157892429899354
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,20,6.157892429899354
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13,20,8.486665947634046
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-15,20,9.531634489915092
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-17,20,12.61197041737622
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20,20,12.611970417376222
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-21,20,12.61197041737622
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-22,20,12.61197041737622
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-23,20,10.567606786444724
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-24,20,9.548780645975578
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-27,20,9.360379770079705
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-28,20,9.360379770079705
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-29,20,9.360379770079703
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-30,20,9.360379770079705
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-31,20,9.025758782952016
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-03,20,9.025758782952016
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-05,20,9.025758782952016
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-10,20,9.025758782952018
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-11,20,8.337546278909306
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-13,20,8.337546278909306
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-14,20,7.323944799148509
