strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-02,1606924200,1606931640,2020-12-02T15:50:00Z,2020-12-02T17:54:00Z,bullish,TARGET_HIT,0.4677777777777778,0.4677777777777778,8.42,UNAVAILABLE,42.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3637.75,3664.75,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-02,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-02,1606926000,1606937640,2020-12-02T16:20:00Z,2020-12-02T19:34:00Z,bullish,TARGET_HIT,0.4677777777777778,0.4677777777777778,8.42,UNAVAILABLE,42.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3641.25,3668.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-02,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-02,1606928400,1606942500,2020-12-02T17:00:00Z,2020-12-02T20:55:00Z,bullish,FORCE_CLOSE,0.09277777777777778,0.09277777777777778,1.67,UNAVAILABLE,8.35,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3644.5,3671.5,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-02,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-02,1606929000,1606942500,2020-12-02T17:10:00Z,2020-12-02T20:55:00Z,bullish,FORCE_CLOSE,0.12055555555555555,0.12055555555555555,2.17,UNAVAILABLE,10.85,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3644.0,3671.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-02,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-03,1607010600,1607028120,2020-12-03T15:50:00Z,2020-12-03T20:42:00Z,bullish,STOP_HIT,-1.0322222222222222,-1.0322222222222222,-18.58,UNAVAILABLE,-92.89999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3659.25,3686.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-03,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-03,1607011200,1607028180,2020-12-03T16:00:00Z,2020-12-03T20:43:00Z,bullish,STOP_HIT,-1.0322222222222222,-1.0322222222222222,-18.58,UNAVAILABLE,-92.89999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3657.0,3684.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-03,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-04,1607097000,1607115300,2020-12-04T15:50:00Z,2020-12-04T20:55:00Z,bullish,FORCE_CLOSE,0.19,0.19,3.42,UNAVAILABLE,17.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3672.75,3699.75,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-04,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-04,1607097900,1607115300,2020-12-04T16:05:00Z,2020-12-04T20:55:00Z,bullish,FORCE_CLOSE,0.2594444444444444,0.2594444444444444,4.67,UNAVAILABLE,23.35,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3671.5,3698.5,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-04,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-04,1607098500,1607115300,2020-12-04T16:15:00Z,2020-12-04T20:55:00Z,bullish,FORCE_CLOSE,0.2872222222222222,0.2872222222222222,5.17,UNAVAILABLE,25.85,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3671.0,3698.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-04,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-12-04,1607112300,1607115300,2020-12-04T20:05:00Z,2020-12-04T20:55:00Z,bullish,FORCE_CLOSE,0.13444444444444445,0.13444444444444445,2.42,UNAVAILABLE,12.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3673.75,3700.75,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-12-04,False
