bucket,fwd,hit_rate,instrument,label,lookback,mean_abs_signal,mean_signed_fwd,n,side
3,10,0.32342007434944237,ES,Q3,20,0.021762329734093155,-0.011274233508237499,269,SHORT
4,10,0.30597014925373134,ES,Q4,20,0.03784268599069489,-0.012252544837131282,268,SHORT
5,10,0.3828996282527881,ES,Q5_strongest,20,0.0753726771848226,-0.01392484778429279,269,SHORT
1,1,0.5366614664586583,ES,Q1_weakest,60,0.012044548437436717,0.0004865460083723122,641,LONG
2,1,0.5631825273010921,ES,Q2,60,0.03217109913067183,0.0003061429752864748,641,LONG
3,1,0.5444617784711389,ES,Q3,60,0.050568599595241855,0.0005223988845079454,641,LONG
4,1,0.5491419656786272,ES,Q4,60,0.07141761551028415,0.00026142647625525733,641,LONG
5,1,0.5327102803738317,ES,Q5_strongest,60,0.1206533737068062,0.00014114588508467067,642,LONG
1,1,0.40540540540540543,ES,Q1_weakest,60,0.004492366403719807,-0.002471766770217067,185,SHORT
2,1,0.5053763440860215,ES,Q2,60,0.016946027621918183,0.000277908093957805,186,SHORT
3,1,0.44623655913978494,ES,Q3,60,0.034335274933503496,8.731601676151965e-05,186,SHORT
4,1,0.43010752688172044,ES,Q4,60,0.054994793118232126,-0.0006539246765915711,186,SHORT
5,1,0.3978494623655914,ES,Q5_strongest,60,0.10683537360971627,-0.004857351597159595,186,SHORT
1,3,0.590625,ES,Q1_weakest,60,0.012038439397823068,0.002076867270907423,640,LONG
2,3,0.5850234009360374,ES,Q2,60,0.03219854247063268,0.001416604888932281,641,LONG
3,3,0.5865834633385335,ES,Q3,60,0.050598694904846156,0.000985722215062361,641,LONG
4,3,0.594383775351014,ES,Q4,60,0.07145643540658025,0.0012374417920322017,641,LONG
5,3,0.5678627145085804,ES,Q5_strongest,60,0.12070885433308869,0.0002568206942236202,641,LONG
1,3,0.42162162162162165,ES,Q1_weakest,60,0.004492366403719807,-0.0031532784015028937,185,SHORT
2,3,0.41935483870967744,ES,Q2,60,0.016946027621918183,-0.0007292081058519105,186,SHORT
3,3,0.4731182795698925,ES,Q3,60,0.034335274933503496,0.001364152565494335,186,SHORT
4,3,0.41397849462365593,ES,Q4,60,0.054994793118232126,-0.004078405546812768,186,SHORT
5,3,0.3172043010752688,ES,Q5_strongest,60,0.10683537360971627,-0.012838758246383556,186,SHORT
1,5,0.6140625,ES,Q1_weakest,60,0.012045138381653771,0.0029956437903898214,640,LONG
2,5,0.6,ES,Q2,60,0.032239549775148174,0.002048214527602529,640,LONG
3,5,0.625585023400936,ES,Q3,60,0.050628798280554,0.002419350078399097,641,LONG
4,5,0.6046875,ES,Q4,60,0.07147397879821377,0.0014154216358883659,640,LONG
5,5,0.5741029641185648,ES,Q5_strongest,60,0.12070885433308869,0.0006242321896975839,641,LONG
1,5,0.35135135135135137,ES,Q1_weakest,60,0.004492366403719807,-0.005059886831271492,185,SHORT
2,5,0.3817204301075269,ES,Q2,60,0.016946027621918183,-0.002866468803457889,186,SHORT
3,5,0.46774193548387094,ES,Q3,60,0.034335274933503496,0.00026548964735224515,186,SHORT
4,5,0.3548387096774194,ES,Q4,60,0.054994793118232126,-0.007201591401194279,186,SHORT
5,5,0.3118279569892473,ES,Q5_strongest,60,0.10683537360971627,-0.018414230518547937,186,SHORT
1,10,0.6291079812206573,ES,Q1_weakest,60,0.012120803814130231,0.006349000607408034,639,LONG
2,10,0.6353677621283255,ES,Q2,60,0.03233578495513099,0.004595415676366389,639,LONG
3,10,0.6390625,ES,Q3,60,0.05070415456867441,0.0045131888668783985,640,LONG
4,10,0.6400625978090767,ES,Q4,60,0.07153085256895501,0.0030701392019013597,639,LONG
5,10,0.621875,ES,Q5_strongest,60,0.12076401549458429,0.0015921075698290712,640,LONG
1,10,0.2918918918918919,ES,Q1_weakest,60,0.004492366403719807,-0.009408211786356946,185,SHORT
2,10,0.3978494623655914,ES,Q2,60,0.016946027621918183,-0.002564778760230901,186,SHORT
3,10,0.45161290322580644,ES,Q3,60,0.034335274933503496,-0.00019655603263260934,186,SHORT
4,10,0.26344086021505375,ES,Q4,60,0.054994793118232126,-0.01712295688198886,186,SHORT
5,10,0.22580645161290322,ES,Q5_strongest,60,0.10683537360971627,-0.03170389390325306,186,SHORT
