bucket,fwd,hit_rate,instrument,label,lookback,mean_abs_signal,mean_signed_fwd,n,side
2,5,0.4755784061696658,GC,Q2,10,0.009880472435993385,-0.00044420055531627794,389,SHORT
3,5,0.4601542416452442,GC,Q3,10,0.017902246819546642,0.0007290458118366632,389,SHORT
4,5,0.48586118251928023,GC,Q4,10,0.028129010524173225,-3.7635467984319125e-05,389,SHORT
5,5,0.42159383033419023,GC,Q5_strongest,10,0.055495264762196156,-0.003959435112543884,389,SHORT
1,10,0.4720357941834452,GC,Q1_weakest,10,0.00346704378502595,0.00020252555567083685,447,LONG
2,10,0.5346756152125279,GC,Q2,10,0.011466555805757147,0.001954920666715001,447,LONG
3,10,0.5257270693512305,GC,Q3,10,0.020034018662821878,0.002979436252358385,447,LONG
4,10,0.5682326621923938,GC,Q4,10,0.03080374957797549,0.003917664734987266,447,LONG
5,10,0.53125,GC,Q5_strongest,10,0.05592214503671951,0.002653503608389141,448,LONG
1,10,0.45618556701030927,GC,Q1_weakest,10,0.0029467837638841653,-0.0029375054838163685,388,SHORT
2,10,0.4896907216494845,GC,Q2,10,0.009889581960713855,-0.0014457212462342765,388,SHORT
3,10,0.4652956298200514,GC,Q3,10,0.017920853033199485,0.0001223320219783605,389,SHORT
4,10,0.47164948453608246,GC,Q4,10,0.028143735449759056,-0.0009327391582484113,388,SHORT
5,10,0.38817480719794345,GC,Q5_strongest,10,0.055495264762196156,-0.008279603729487507,389,SHORT
1,1,0.5124716553287982,GC,Q1_weakest,20,0.005714695282184207,-0.00023849479835537366,441,LONG
2,1,0.5578231292517006,GC,Q2,20,0.017123263468096884,0.0007178923598003396,441,LONG
3,1,0.49321266968325794,GC,Q3,20,0.030530301592478857,5.305741450701458e-05,442,LONG
4,1,0.54421768707483,GC,Q4,20,0.047654480809631736,0.0009737398865602386,441,LONG
5,1,0.4660633484162896,GC,Q5_strongest,20,0.0812654048034778,-0.0001704460721052409,442,LONG
1,1,0.5279187817258884,GC,Q1_weakest,20,0.004436528955045812,-3.7793487325384793e-06,394,SHORT
2,1,0.49238578680203043,GC,Q2,20,0.013557453649259152,0.00043567273856152304,394,SHORT
3,1,0.47715736040609136,GC,Q3,20,0.023932551327673298,-0.0003142743721331482,394,SHORT
4,1,0.4467005076142132,GC,Q4,20,0.038942965961247425,-0.0003412218324351931,394,SHORT
5,1,0.4619289340101523,GC,Q5_strongest,20,0.07215686499095739,-0.0010993152454059727,394,SHORT
1,3,0.4897959183673469,GC,Q1_weakest,20,0.005714695282184207,-0.0007553793573413852,441,LONG
2,3,0.5011337868480725,GC,Q2,20,0.017123263468096884,-0.0001568901363584754,441,LONG
3,3,0.5102040816326531,GC,Q3,20,0.030513306540631845,0.0008729684936375693,441,LONG
4,3,0.5759637188208617,GC,Q4,20,0.04760808412863427,0.0027483883733822427,441,LONG
5,3,0.4671201814058957,GC,Q5_strongest,20,0.08124144330791089,4.5972291006279735e-05,441,LONG
1,3,0.4720812182741117,GC,Q1_weakest,20,0.004436528955045812,-0.00026111206664812824,394,SHORT
2,3,0.46954314720812185,GC,Q2,20,0.013557453649259152,-3.5115717106469636e-05,394,SHORT
3,3,0.4543147208121827,GC,Q3,20,0.023932551327673298,-0.0004369590773904318,394,SHORT
4,3,0.44416243654822335,GC,Q4,20,0.038942965961247425,-0.0010142411377387778,394,SHORT
5,3,0.43908629441624364,GC,Q5_strongest,20,0.07215686499095739,-0.0036154332400031553,394,SHORT
1,5,0.4909090909090909,GC,Q1_weakest,20,0.005702017192436181,-0.0009716726305801004,440,LONG
2,5,0.5238095238095238,GC,Q2,20,0.017096731948198496,0.0003794954969598818,441,LONG
3,5,0.5181818181818182,GC,Q3,20,0.03046213431083717,0.000881946710948912,440,LONG
4,5,0.5986394557823129,GC,Q4,20,0.04751609610580948,0.003630690238627052,441,LONG
5,5,0.5102040816326531,GC,Q5_strongest,20,0.08116899991542142,0.0005288261988553525,441,LONG
1,5,0.47715736040609136,GC,Q1_weakest,20,0.004436528955045812,-0.0007735412139379232,394,SHORT
2,5,0.5025380710659898,GC,Q2,20,0.013557453649259152,9.679326807124736e-05,394,SHORT
3,5,0.41116751269035534,GC,Q3,20,0.023932551327673298,-0.0009364152062594205,394,SHORT
4,5,0.4593908629441624,GC,Q4,20,0.038942965961247425,-0.0007991722799037124,394,SHORT
5,5,0.39086294416243655,GC,Q5_strongest,20,0.07215686499095739,-0.006625115026856352,394,SHORT
1,10,0.4681818181818182,GC,Q1_weakest,20,0.005702017192436181,-0.0024395928018963154,440,LONG
2,10,0.5409090909090909,GC,Q2,20,0.017083357889198424,0.001298897740446332,440,LONG
3,10,0.575,GC,Q3,20,0.03045663129713899,0.005554349137359763,440,LONG
4,10,0.5659090909090909,GC,Q4,20,0.04754891698150351,0.00488581526117453,440,LONG
5,10,0.49318181818181817,GC,Q5_strongest,20,0.08122104155911163,0.0014989012905768817,440,LONG
1,10,0.48854961832061067,GC,Q1_weakest,20,0.004425356406687167,-0.0012952525012810562,393,SHORT
2,10,0.5203045685279187,GC,Q2,20,0.013548715137980767,0.0005135308503392908,394,SHORT
3,10,0.4529262086513995,GC,Q3,20,0.02391726720961027,-0.001041609143696785,393,SHORT
4,10,0.4593908629441624,GC,Q4,20,0.03894017852211849,-0.0020128769270750663,394,SHORT
5,10,0.35279187817258884,GC,Q5_strongest,20,0.07215686499095739,-0.01134137153507089,394,SHORT
1,1,0.5588865096359743,GC,Q1_weakest,60,0.010211580331827886,0.0008252156162545252,467,LONG
2,1,0.5256410256410257,GC,Q2,60,0.029301381980482794,0.00031073718903001164,468,LONG
3,1,0.5610278372591007,GC,Q3,60,0.05208004588398225,0.00037246608041836376,467,LONG
4,1,0.4829059829059829,GC,Q4,60,0.08581656339873127,0.00026125017749699424,468,LONG
