bucket,fwd,hit_rate,instrument,label,lookback,mean_abs_signal,mean_signed_fwd,n,side
1,5,0.41450777202072536,NQ,Q1_weakest,60,0.006185996014164468,-0.005395982519270204,193,SHORT
2,5,0.4072164948453608,NQ,Q2,60,0.019657071524178442,-0.0024567957543092864,194,SHORT
3,5,0.34536082474226804,NQ,Q3,60,0.038755101287370856,-0.007013040819476695,194,SHORT
4,5,0.31958762886597936,NQ,Q4,60,0.06724740909399689,-0.00985809787124517,194,SHORT
5,5,0.36082474226804123,NQ,Q5_strongest,60,0.1286573274445177,-0.016925722517396206,194,SHORT
1,10,0.6661392405063291,NQ,Q1_weakest,60,0.016107238142491445,0.01068336725550986,632,LONG
2,10,0.6075949367088608,NQ,Q2,60,0.04274124487186108,0.005209673265515608,632,LONG
3,10,0.5750394944707741,NQ,Q3,60,0.0670289983951177,0.0039871399698001185,633,LONG
4,10,0.6123417721518988,NQ,Q4,60,0.09441263449774244,0.0017536168780750189,632,LONG
5,10,0.65086887835703,NQ,Q5_strongest,60,0.16751387171777976,0.005629097660479715,633,LONG
1,10,0.3333333333333333,NQ,Q1_weakest,60,0.006149880851579207,-0.011616691573988027,192,SHORT
2,10,0.37823834196891193,NQ,Q2,60,0.01954959043338242,-0.008579194255853134,193,SHORT
3,10,0.29015544041450775,NQ,Q3,60,0.038494445255202174,-0.01682377125246493,193,SHORT
4,10,0.32642487046632124,NQ,Q4,60,0.06714955869552103,-0.014808316071652979,193,SHORT
5,10,0.2694300518134715,NQ,Q5_strongest,60,0.12887739536295773,-0.025022795578982952,193,SHORT
