event_id,first_z,max_abs_z,reclaim,side,trading_date
2025-12-08|below|1765204800,-2.159395025507337,2.159395025507337,True,below,2025-12-08
2025-12-08|below|1765205700,-2.1496531005585267,2.429439497593088,True,below,2025-12-08
2025-12-09|above|1765295700,2.3319595745207033,2.4790009851911137,True,above,2025-12-09
2025-12-09|above|1765296600,2.195884250722952,2.195884250722952,True,above,2025-12-09
2025-12-10|above|1765375500,2.002479842764132,2.002479842764132,True,above,2025-12-10
2025-12-11|above|1765460700,2.1984956638883806,2.1984956638883806,True,above,2025-12-11
2025-12-11|above|1765471500,2.0090862572018766,2.0090862572018766,True,above,2025-12-11
2025-12-11|above|1765472700,2.0326687335492313,2.0326687335492313,True,above,2025-12-11
2025-12-12|below|1765549800,-2.175427340766389,2.175427340766389,True,below,2025-12-12
2025-12-12|above|1765551000,2.542244373027471,2.542244373027471,True,above,2025-12-12
2025-12-12|below|1765552500,-3.155074220116121,3.155074220116121,True,below,2025-12-12
2025-12-12|below|1765555200,-2.143726742313393,2.143726742313393,True,below,2025-12-12
2025-12-15|above|1765806300,3.0344077099782925,3.0344077099782925,True,above,2025-12-15
2025-12-15|below|1765806900,-2.3775775255104894,2.3775775255104894,True,below,2025-12-15
2025-12-15|below|1765810200,-2.1817276668145635,2.1817276668145635,True,below,2025-12-15
2025-12-15|below|1765814400,-2.2817483621030443,2.2817483621030443,True,below,2025-12-15
2025-12-15|below|1765815000,-2.107462486114608,2.107462486114608,True,below,2025-12-15
2025-12-15|below|1765815600,-2.314410814635171,2.3452478522116933,True,below,2025-12-15
2025-12-16|above|1765893300,2.3391891261305355,2.3391891261305355,True,above,2025-12-16
2025-12-16|above|1765894500,2.3225571977779267,2.3225571977779267,True,above,2025-12-16
2025-12-17|above|1765985400,2.137606213676246,2.137606213676246,True,above,2025-12-17
2025-12-17|below|1765988400,-2.2125742956006675,2.2125742956006675,True,below,2025-12-17
2025-12-18|below|1766068800,-2.356906609688571,2.356906609688571,True,below,2025-12-18
2025-12-18|above|1766074200,2.265540347959429,2.446911261523092,True,above,2025-12-18
2025-12-19|below|1766152200,-3.0030645563298366,3.0030645563298366,True,below,2025-12-19
2025-12-19|below|1766153400,-2.210597047002709,2.210597047002709,True,below,2025-12-19
2025-12-19|below|1766154000,-2.9831936424799737,2.9831936424799737,True,below,2025-12-19
2025-12-19|above|1766154900,2.010459393683106,2.010459393683106,True,above,2025-12-19
2025-12-19|above|1766156400,2.5321269869402383,2.556435798974351,True,above,2025-12-19
2025-12-22|above|1766418300,2.2410722707016335,2.2410722707016335,True,above,2025-12-22
2025-12-22|above|1766419500,2.1885424360653722,2.5495507662126013,True,above,2025-12-22
2025-12-22|above|1766423400,2.0328986912403484,2.0328986912403484,True,above,2025-12-22
2025-12-24|above|1766584200,2.196569098585803,2.196569098585803,True,above,2025-12-24
2025-12-24|below|1766586900,-2.1865547016255085,2.1865547016255085,True,below,2025-12-24
2025-12-24|below|1766587800,-2.0840237789046614,2.0840237789046614,True,below,2025-12-24
2025-12-24|below|1766590800,-2.0837851986453537,2.0837851986453537,True,below,2025-12-24
2025-12-26|above|1766763000,2.4123457185686576,2.4123457185686576,True,above,2025-12-26
2025-12-26|above|1766763900,2.172167577580915,2.172167577580915,True,above,2025-12-26
2025-12-26|above|1766764500,2.10065961816719,2.232896130614044,True,above,2025-12-26
2025-12-31|below|1767199200,-2.2009571998395736,2.2009571998395736,True,below,2025-12-31
2026-01-02|below|1767364200,-2.1266521595224672,2.1266521595224672,True,below,2026-01-02
2026-01-02|below|1767366000,-2.1187844908878692,2.1187844908878692,True,below,2026-01-02
2026-01-02|below|1767370500,-2.0372523452093803,2.0372523452093803,True,below,2026-01-02
2026-01-05|above|1767625200,2.096835992401558,2.096835992401558,True,above,2026-01-05
2026-01-06|above|1767707400,2.8374809601366033,2.8374809601366033,True,above,2026-01-06
2026-01-06|above|1767709800,2.341410320378821,2.341410320378821,True,above,2026-01-06
2026-01-07|above|1767794100,2.272603558125533,2.272603558125533,True,above,2026-01-07
2026-01-07|below|1767798600,-3.550562135136875,3.550562135136875,True,below,2026-01-07
2026-01-07|above|1767802800,2.1742318856866656,2.6444452720783076,True,above,2026-01-07
2026-01-08|below|1767880200,-2.9360493728452943,2.9360493728452943,True,below,2026-01-08
2026-01-08|above|1767883500,2.4219584434980237,2.4219584434980237,True,above,2026-01-08
