entry_mode,execution_timeframe,feed_equivalence_class,outcome,session,setup_id,status,underlying_provider
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-17|high|1781702700|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-17|high|1781702700|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-17|high|1781702700|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-17|low|1781772600|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-17|low|1781772600|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-17|low|1781772600|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-18|low|1781791200|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-18|low|1781791200|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-18|low|1781791200|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-18|high|1782091800|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-18|high|1782091800|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-18|high|1782091800|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-19|high|1781874000|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-19|high|1781874000|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-06-19|high|1781874000|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-21|low|1782183600|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-21|low|1782183600|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-21|low|1782183600|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-22|low|1782135300|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-22|low|1782135300|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-06-22|low|1782135300|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-22|low|1782198000|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-22|low|1782198000|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-06-22|low|1782198000|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-06-23|high|1782222300|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,AMBIGUOUS_INTRABAR,London,OANDA:XAUUSD|London|2026-06-23|high|1782222300|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,AMBIGUOUS_INTRABAR,London,OANDA:XAUUSD|London|2026-06-23|high|1782222300|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-23|low|1782301800|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-06-23|low|1782301800|exec:5m,INVALIDATED,tiingo
