age_1h,aligned_1h_4h,close_with_1h,close_with_4h,ema20_rising,gap,gap_over_atr,prior_ret,ret_1h,ret_4h,rth_close,rth_high,rth_low,rth_open,rth_return,strength_1h,structure_1h,trading_date,trend_1h,trend_4h,year
1,True,True,True,True,16.75,0.5299435028248588,-21.5,0.0020202853137627486,0.002437512910555606,6080.0,6090.5,6064.75,6072.5,0.00123507616302998,weak,HH_HL,2024-12-16,BULLISH,BULLISH,2024
0,False,,,False,-27.25,-0.872,7.5,-0.0013190980666969443,-0.0019748210318439874,6054.0,6063.5,6040.75,6052.75,0.00020651769856683266,weak,LH_LL,2024-12-17,NEUTRAL,NEUTRAL,2024
0,False,,False,True,70.0,2.4332712600869026,1.25,-0.001262317778320754,0.015284203569068122,5939.25,6148.0,5934.75,6124.0,-0.03016819072501631,weak,MIXED,2024-12-18,NEUTRAL,BULLISH,2024
2,True,False,False,False,49.5,1.1881697385340764,-184.75,0.00243084660519699,0.0037040154895193744,5934.25,6005.25,5931.75,5988.75,-0.009100396576915082,weak,HH_HL,2024-12-19,BULLISH,BULLISH,2024
1,False,True,False,False,-27.0,-0.6096774193548388,-54.5,0.0027606710554257674,-0.00896276036187671,6002.25,6050.75,5898.25,5907.25,0.016081933217656275,weak,MIXED,2024-12-20,BULLISH,BEARISH,2024
1,False,False,,False,-3.5,-0.06500829187396351,95.0,-0.004860216840443687,0.0016259484699407967,6036.75,6043.0,5965.0,5998.75,0.006334653052719297,medium,MIXED,2024-12-23,BEARISH,NEUTRAL,2024
0,False,,False,True,42.5,0.7316323393790347,38.0,8.228759514494755e-05,-0.004140022954582712,6094.75,6107.5,6063.25,6079.25,0.0025496566188263348,weak,MIXED,2024-12-26,NEUTRAL,BEARISH,2024
0,False,,True,False,-42.25,-0.7145877378435518,15.5,-0.0009881016097822437,-0.0028728556184848264,6028.5,6055.5,5982.75,6052.5,-0.003965303593556402,weak,MIXED,2024-12-27,NEUTRAL,BEARISH,2024
2,True,False,False,False,-73.25,-1.1669985775248932,-24.0,-0.010437458416500345,-0.002736658788406565,5958.0,5993.25,5918.25,5955.25,0.0004617774232820171,strong,LH_LL,2024-12-30,BEARISH,BEARISH,2024
0,False,,False,True,14.5,0.2176360225140713,2.75,-0.00033472803347278646,0.003778813452575802,5935.0,5980.25,5917.25,5972.5,-0.006278777731268281,weak,MIXED,2024-12-31,NEUTRAL,BULLISH,2024
0,False,,False,True,32.75,0.47860125260960334,-37.5,0.0010465505693235677,0.005725592556729664,5917.25,5985.0,5874.75,5967.75,-0.008462150726823325,weak,MIXED,2025-01-02,NEUTRAL,BULLISH,2025
0,False,,,False,27.75,0.37618010167029775,-50.5,-0.001347141534057461,0.0015624999999999112,5988.0,5996.75,5934.0,5945.0,0.007232968881413004,weak,MIXED,2025-01-03,NEUTRAL,NEUTRAL,2025
7,True,False,False,True,44.75,0.5879868606288128,43.0,0.003905438530890315,0.004970552608495993,6022.5,6068.25,6004.0,6032.75,-0.0016990593013136435,weak,HH_HL,2025-01-06,BULLISH,BULLISH,2025
1,False,False,,False,19.5,0.24784384929641398,-10.25,0.002948627434694151,-8.294281093190747e-05,5955.0,6045.5,5935.0,6042.0,-0.014399205561072548,weak,MIXED,2025-01-07,BULLISH,NEUTRAL,2025
