accept_1m,accept_5m,accept_two_1m,close_vs_value,continue_away,enter_value,first_exit_side,gap,gap_over_atr,inside_closes,instrument,mae_into,mfe_away,open,open_above_poc,open_below_poc,open_class,overnight_inside_value,poc,poc_in_range,prior_date,reject_1m,return_vah,return_val,tod_first_value_int,touch_poc,trading_date,traverse_full_value,ts_accept_1m,ts_poc,ts_vah,ts_val,vah,val,vol_above_poc,width,width_over_atr,width_over_range,year
True,True,True,CLOSE_INSIDE_VALUE,False,True,,-35.25,-1.0704989154013014,52,ES,-13.75,12.5,4566.0,False,True,OPEN_BELOW_VAL,True,4599.75,0.8232044198895028,2023-12-01,True,False,True,0930_1000,False,2023-12-04,False,1701700680,,,1701700500,4606.75,4574.75,0.1873065715110751,32.0,0.9718004338394793,0.7071823204419889,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,,-14.75,-0.48991696322657174,321,ES,-23.5,3.75,4562.0,False,True,OPEN_BELOW_VAL,True,4570.75,0.6571428571428571,2023-12-04,False,True,True,1000_1130,True,2023-12-05,True,1701787980,1701788400,1701788640,1701787980,4578.25,4566.5,0.41984193356253235,11.75,0.3902728351126928,0.44761904761904764,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,,21.5,0.717948717948718,198,ES,-45.25,0.25,4597.25,True,False,OPEN_ABOVE_VAH,True,4574.0,0.5779816513761468,2023-12-05,True,True,True,1000_1130,True,2023-12-06,True,1701876300,1701880320,1701876300,1701885060,4576.75,4568.25,0.3156738897632908,8.5,0.283840190816935,0.3119266055045872,2023
True,True,True,CLOSE_BELOW_VAL,False,True,VAH,20.5,0.676487919858574,263,ES,0.0,0.0,4576.5,True,False,OPEN_INSIDE_VALUE,True,4571.5,0.42857142857142855,2023-12-06,False,True,False,1130_1330,True,2023-12-07,False,1701959400,1701960540,1701968400,,4589.25,4565.5,0.5772011499067139,23.75,0.7837360047142016,0.521978021978022,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAL,-7.5,-0.24734982332155475,116,ES,0.0,0.0,4581.0,False,True,OPEN_INSIDE_VALUE,True,4589.75,0.7619047619047619,2023-12-07,False,True,True,1000_1130,True,2023-12-08,True,1702045800,1702046580,1702047600,1702045800,4594.0,4579.0,0.14984873102925805,15.0,0.4946996466431095,0.5714285714285714,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAH,-5.5,-0.17680826636050517,134,ES,0.0,0.0,4602.25,False,True,OPEN_INSIDE_VALUE,True,4608.5,0.852112676056338,2023-12-08,False,True,False,1000_1130,True,2023-12-11,False,1702305000,1702305660,1702308000,,4611.0,4591.5,0.13401635603212667,19.5,0.6268656716417911,0.5492957746478874,2023
True,True,True,CLOSE_ABOVE_VAH,False,True,,-4.0,-0.12691218130311616,33,ES,-10.5,25.0,4621.0,True,False,OPEN_ABOVE_VAH,True,4607.25,0.2727272727272727,2023-12-11,False,True,False,0930_1000,False,2023-12-12,False,1702391400,,1702391400,,4620.25,4600.0,0.7756787943958844,20.25,0.6424929178470256,0.7363636363636363,2023
False,False,False,CLOSE_ABOVE_VAH,True,False,,54.0,1.7530434782608697,0,ES,-3.5,64.0,4700.25,True,False,OPEN_ABOVE_VAH,False,4631.25,0.5684931506849316,2023-12-12,False,False,False,0930_1000,False,2023-12-13,False,,,,,4644.75,4622.0,0.42832110401663825,22.75,0.7385507246376812,0.6232876712328768,2023
True,False,False,CLOSE_ABOVE_VAH,False,True,,18.0,0.5230928905033732,1,ES,-32.75,12.75,4779.0,True,False,OPEN_ABOVE_VAH,False,4700.25,0.05185185185185185,2023-12-13,False,True,False,1330_1530,False,2023-12-14,False,1702579980,,1702579980,,4749.0,4696.75,0.8690912683112562,52.25,1.5184224182667359,0.774074074074074,2023
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAL,-7.0,-0.19531639262580966,267,ES,0.0,0.0,4768.25,True,False,OPEN_INSIDE_VALUE,True,4767.75,0.4725274725274725,2023-12-14,False,False,True,0930_1000,True,2023-12-15,False,1702650600,1702650600,,1702650600,4785.0,4765.5,0.7110371475714472,19.5,0.5440956651718983,0.42857142857142855,2023
